X;Y;osm_id;type;name;brand;operator;wheelchair
4.8688515;45.7443329003803;node/7438434345;alcohol;Les Caves Nysa Monplaisir;Nysa;;yes
4.8660583;45.7286127003825;node/7460889858;butcher;Boucherie de Beauvisage;;;
4.8655651;45.7284615003825;node/7460889860;florist;Le Jardin des Fleurs;;;
4.8175263;45.7438657003803;node/7464947275;butcher;La Confluence;;;
4.8342812;45.7625419003777;node/7464978021;chocolate;Lindt;Lindt;;
4.834646;45.7656452003773;node/7494827434;tailor;Point Retouche;;;
4.8365378;45.7666636003771;node/7499109821;shoemaker;Cordonnier Alain;;;
4.8349346;45.7620704003778;node/7501682340;deli;Maison Duculty;;;
4.8351896;45.7631798003776;node/7501714372;deli;Épicerie Madame;;;
4.8691206;45.7445066003803;node/7505525764;chocolate;De Neuville;De Neuville;;limited
4.8696506;45.7443756003803;node/7505525768;cheese;Fromagerie Lumière;;;no
4.8677397;45.7446182003802;node/7515865721;alcohol;Nicolas;Nicolas;;
4.8675087;45.7448869003802;node/7515865723;florist;C. Perraud Fleurs;;;yes
4.8351788;45.7612092003779;node/7518035383;leather;Dalery;Dalery;;
4.831571;45.7602202003781;node/7523835677;alcohol;Muraato;;;
4.8320968;45.7623314003777;node/7523957647;deli;Quai des Oliviers;;;
4.8658463;45.7453945003801;node/7529548953;bag;Gavroche;;;
4.8649748;45.7453657003801;node/7529548973;butcher;Mossuz;;;
4.8654678;45.7454943003801;node/7529548975;tailor;Point retouche;;;
4.832171;45.7629677003777;node/7529631047;cheese;Crémerie Saint-Antoine;;;
4.8315024;45.7653780003773;node/7529723370;art;La BF15;;;
4.8311854;45.7657587003773;node/7529723860;garden_centre;Little Liamone;;;
4.831141;45.7658010003773;node/7529746650;carpet;Rêves D'Hispahan;;;
4.8358833;45.7618710003778;node/7534127771;candles;My Jolie Candle;My Jolie Candle;;
4.833528;45.7540959003789;node/7538419347;musical_instrument;Lyon Music;;;
4.8332471;45.7542046003789;node/7538451700;garden_centre;Aux Plantes;;;
4.8338696;45.7542564003789;node/7538457163;art;Estate Gallery;;;
4.8278283;45.7565533003786;node/7538508255;shoe_repair;La Botterie;;;
4.8333915;45.7627348003777;node/7549574412;shoemaker;Cordonnerie des Cordiers;;;
4.8334003;45.7626422003777;node/7549575742;chocolate;Bertrand Chocolatier;;;
4.8333826;45.7629874003777;node/7549576145;leather;Paul Marius;;;
4.8333677;45.7632436003776;node/7549596076;bag;Barret;;;
4.8329988;45.7652466003773;node/7549693737;deli;Jacotte;;;
4.8423028;45.7557346003787;node/7551063189;florist;Dulac Fleurs;;;
4.8419998;45.7558336003787;node/7551063196;bag;Saphicuir;;;
4.8337569;45.7661521003772;node/7551657318;garden_centre;Onno;;;
4.8338942;45.7661872003772;node/7551711651;tailor;Graphiti l'Atelier;;;
4.8329779;45.7655166003773;node/7551743651;chocolate;Pelen chocolatier;;Pelen;
4.8528777;45.7529754003791;node/7551897550;butcher;Boucherie Jacquand;;;
4.8527841;45.7529646003791;node/7551897551;deli;Délices de la Caspienne;;;
4.8526107;45.7527308003791;node/7551897554;greengrocer;Fraises & petits pois;;;
4.8525748;45.7527283003791;node/7551897555;cheese;Pierre & Marcellin;;;
4.8526648;45.7529498003791;node/7551897556;florist;Interflora;Interflora;;
4.8525763;45.7529417003791;node/7551897557;wine;Cave Bataillon;;;
4.8522453;45.7525476003791;node/7551897562;tailor;;;;
4.8475425;45.7538545003789;node/7551915124;butcher;B. Morel Charcutier traiteur;;;
4.8451008;45.7544144003789;node/7551915151;bag;Borza;;;limited
4.8440103;45.7547972003788;node/7551915165;frame;Alizes encadrements;;;limited
4.8548414;45.753221500379;node/7552254923;paint;Monsieur Spray;;;
4.8544126;45.7529528003791;node/7552254936;tailor;Sentra Couture;;;
4.8508273;45.7527305003791;node/7555662514;bicycle;Wattmob;;;
4.8477964;45.7498314003795;node/7556203993;shoemaker;Cordonnerie 2000;;Carlos Torres Alarcon;
